camaras_pk,camaras_codigo_postal,camaras_distrito,camaras_localidad,camaras_barrio,camaras_via_clase,camaras_via_nombre,camaras_via_numero,camaras_latitud,camaras_longitud,camaras_coordenada_utm_x,camaras_coordenada_utm_y,camaras_accesibilidad,camaras_propietario,camaras_propietario_telefono,camaras_relevantes_faltantes
7611750,28031,VILLA DE VALLECAS,MADRID,CASCO H.VALLECAS,CALLE,GONZALEZ DAVILA,18.0,40.37541763097039,-3.638845084588055,445768,4469623,3,ARCHIVO JUDICIAL TERRITORIAL DE LA COMUNIDAD DE MADRID,913329570,COMPLETO
91189,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL JUZGADO CENTRAL DE MENORES ÃNICO,914007436914007437,COMPLETO
66672,28004,CENTRO,MADRID,JUSTICIA,CALLE,GARCIA GUTIERREZ,1.0,40.42591696701239,-3.6929960000180335,441215,4475262,3,AUDIENCIA NACIONAL JUZGADOS CENTRALES DE INSTRUCCIÃN,,COMPLETO
91192,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL SALA DE LO CONTENCIOSO  ADMINISTRATIVO,,COMPLETO
542,28004,CENTRO,MADRID,JUSTICIA,CALLE,GARCIA GUTIERREZ,1.0,40.42591696701239,-3.6929960000180335,441875,4478736,3,AUDIENCIA NACIONAL SALA DE LO PENAL,,COMPLETO
6273949,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL SALA DE LO SOCIAL ÃNICA,914007258914007257,COMPLETO
544,28035,FUENCARRAL-EL PARDO,MADRID,PEÃ¯Â¿Â½A GRANDE,CALLE,SANTIAGO DE COMPOSTELA,100.0,40.47737142175386,-3.720237637923901,438950,4480992,3,AUDIENCIA PROVINCIAL DE MADRID CALLE SANTIAGO DE COMPOSTELA 100,914937124,COMPLETO
543,28035,FUENCARRAL-EL PARDO,MADRID,PEÃ¯Â¿Â½A GRANDE,CALLE,SANTIAGO DE COMPOSTELA,96.0,40.477877678025976,-3.7200392972598286,446869,4475383,3,AUDIENCIA PROVINCIAL DE MADRID CALLE SANTIAGO DE COMPOSTELA 96,914937124,COMPLETO
51493,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46514986607197,-3.6902025083603656,441486,4479615,3,CLÃNICA MÃDICO FORENSE,914932502,COMPLETO
8037447,28004,CENTRO,MADRID,JUSTICIA,CALLE,MARQUES DE LA ENSENADA,8.0,40.42413604278863,-3.692517980456627,441254,4475064,3,CONSEJO GENERAL DEL PODER JUDICIAL SEDE CENTRAL,917006100,COMPLETO
1633,28010,CHAMBERI,MADRID,TRAFALGAR,CALLE,TRAFALGAR,27.0,40.43341500950279,-3.701538096870999,440497,4476100,3,CONSEJO GENERAL DEL PODER JUDICIAL SERVICIO DE ATENCIÃN A LA CIUDADANÃA,917005868,COMPLETO
7612496,28008,MONCLOA-ARAVACA,MADRID,ARGUELLES,CALLE,VENTURA RODRIGUEZ,7.0,40.42526825572236,-3.713737002455046,439455,4475204,3,FISCALÃA DE DISCAPACIDADES Y TUTELAS,914438730,COMPLETO
5185507,28010,CHAMBERI,MADRID,ALMAGRO,CALLE,FORTUNY,4.0,40.42860469149395,-3.690984085212356,441498,4475767,0,FISCALÃA DEL TRIBUNAL SUPREMO,913352141,COMPLETO
7612132,28004,CENTRO,MADRID,JUSTICIA,CALLE,GENERAL CASTA&;N;OS,1.0,40.42468431758989,-3.694232913648584,441109,4475126,3,FISCALÃA SUPERIOR COMUNIDAD DE MADRID,914934852,COMPLETO
7612943,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,FRANCISCO GERVAS,10.0,40.460934721665055,-3.693037267216853,441242,4479149,3,FISCALÃA   SECCIÃN CIVIL,914936349,COMPLETO
7612817,28004,CENTRO,MADRID,JUSTICIA,CALLE,BARQUILLO,23.0,40.42239624481564,-3.6956946714498695,440983,4474873,3,FISCALÃA  CONTENCIOSO ADMINISTRATIVO,915221735,COMPLETO
7612449,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  DELITOS ECONÃMICOS,914932660914932663,COMPLETO
7612483,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  EJECUTORIAS PENALES,914932472,COMPLETO
7612716,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,JULIAN CAMARILLO,11.0,40.43404969458037,-3.6321134335539744,446386,4476126,3,FISCALÃA  ENJUICIAMIENTO PENAL,914931485,COMPLETO
7612611,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46522363588108,-3.690027045206217,441500,4479623,3,FISCALÃA  GUARDA E INSTRUCCIÃN,914932588,COMPLETO
11769737,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,HERMANOS GARCIA NOBLEJAS,1.0,40.43772152080973,-3.6376097249566857,445922,4476537,3,FISCALÃA  GUARDIA DE MENORES,914931098,COMPLETO
7612837,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  LABORAL,914933127,COMPLETO
11054550,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  MEDIO AMBIENTE,914936576914933124,COMPLETO
11769739,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,HERMANOS GARCIA NOBLEJAS,1.0,40.43772152080973,-3.6376097249566857,445922,4476537,3,FISCALÃA  MENORES,914931202914931203,COMPLETO
7612881,28002,CHAMARTIN,MADRID,CIUDAD JARDIN,CALLE,PRADILLO,,40.45005364568936,-3.668254971777164,443334,4477925,3,FISCALÃA  REGISTRO CIVIL,914936679,COMPLETO
11054566,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  SECCIONES 1 A 5,,COMPLETO
7612756,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,,ALBARRACIN,31.0,40.43331852345729,-3.6316052860559234,446428,4476044,3,FISCALÃA  VIOLENCIA FAMILIAR,914932422914933111,REVISAR
9367,28040,MONCLOA-ARAVACA,MADRID,CIUDAD UNIVERSITARIA,CALLE,DOCTOR SEVERO OCHOA,0.0,40.44257018029963,-3.7245794518496913,438551,4477132,3,INSTITUTO ANATÃMICO FORENSE,915441131,COMPLETO
11768894,28055,BARAJAS,MADRID,TIMON,CALLE,JULIO CANO LASSO,4.0,40.48187275814413,-3.6046450950339386,448752,4481418,3,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES DE LA COMUNIDAD DE MADRID,915441131,COMPLETO
7613531,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46514986607197,-3.6902025083603656,441486,4479615,3,JUZGADO DE GUARDIA PLAZA DE CASTILLA,,COMPLETO
11469962,28008,MONCLOA-ARAVACA,MADRID,ARGUELLES,CALLE,PRINCESA,3.0,40.42474213964734,-3.7128591034859424,441620,4482862,3,JUZGADO DE PRIMERA INSTANCIA CALLE PRINCESA,,COMPLETO
551,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46514986607197,-3.6902025083603656,441486,4479615,3,JUZGADOS DE INSTRUCCIÃN PLAZA DE CASTILLA,,COMPLETO
45344,28013,CENTRO,MADRID,SOL,CALLE,GRAN VIA,19.0,40.41985141345496,-3.7008785305479455,440541,4474594,3,JUZGADOS DE LO CONTENCIOSO  ADMINISTRATIVO CALLE GRAN VÃA 19,,COMPLETO
163710,28013,CENTRO,MADRID,UNIVERSIDAD,CALLE,GRAN VIA,52.0,40.42108508035208,-3.706891279894373,440141,4474943,0,JUZGADOS DE LO MERCANTIL CALLE GRAN VÃA,,COMPLETO
6273905,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,ALBARRACIN,31.0,40.43331852345729,-3.6316052860559234,446428,4476044,3,JUZGADOS DE LO PENAL CALLE ALBARRACÃN,,COMPLETO
120343,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,JULIAN CAMARILLO,11.0,40.43404969458037,-3.6321134335539744,446386,4476126,3,JUZGADOS DE LO PENAL CALLE JULIÃN CAMARILLO,,COMPLETO
549,28008,MONCLOA-ARAVACA,MADRID,ARGUELLES,CALLE,PRINCESA,3.0,40.42474213964734,-3.7128591034859424,441620,4482862,3,JUZGADOS DE LO SOCIAL,914438030,COMPLETO
548,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,HERMANOS GARCIA NOBLEJAS,37.0,40.43223684772512,-3.633376469338329,446277,4475925,3,JUZGADOS DE MENORES,,COMPLETO
162803,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,FRANCISCO GERVAS,10.0,40.460934721665055,-3.693037267216853,441242,4479149,3,JUZGADOS DE PRIMERA INSTANCIA CALLE FRANCISCO GERVÃS,,COMPLETO
550,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,,40.464269423507,-3.691302250903921,441392,4479518,3,JUZGADOS DE PRIMERA INSTANCIA CALLE POETA JOAN MARAGALL,,COMPLETO
10514777,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,ROSARIO PINO,5.0,40.46195385690931,-3.691243604831495,441394,4479261,3,JUZGADOS DE PRIMERA INSTANCIA CALLE ROSARIO PINO,,COMPLETO
91177,28008,MONCLOA-ARAVACA,MADRID,ARGUELLES,CALLE,VENTURA RODRIGUEZ,7.0,40.42526825572236,-3.713737002455046,439455,4475204,3,JUZGADOS DE PRIMERA INSTANCIA CALLE VENTURA RODRÃGUEZ,,COMPLETO
555,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46514986607197,-3.6902025083603656,441486,4479615,3,JUZGADOS DE VIGILANCIA PENITENCIARIA,,COMPLETO
171720,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,ALBARRACIN,31.0,40.43331852345729,-3.6316052860559234,446428,4476044,3,JUZGADOS DE VIOLENCIA SOBRE LA MUJER,,COMPLETO
12373,28012,CENTRO,MADRID,SOL,CALLE,BOLSA,8.0,40.41496376984677,-3.704623112051761,440219,4474054,3,MINISTERIO DE JUSTICIA CENTRO DE ATENCIÃN AL CIUDADANO Y OFICINA DE ASISTENCIA EN MATERIA DE REGISTRO,902007214918372295,COMPLETO
5378170,28013,CENTRO,MADRID,SOL,CALLE,MONTERA,18.0,40.4179130840613,-3.702591127907176,440394,4474380,3,REGISTRO CIVIL CENTRAL SERVICIO DE CERTIFICADOS,902007214,COMPLETO
540,28003,CHAMBERI,MADRID,VALLEHERMOSO,CALLE,DOMENICO SCARLATTI,6.0,40.44136477201239,-3.717067275176147,439188,4476993,3,TRIBUNAL CONSTITUCIONAL,915508000,COMPLETO
547,28005,CENTRO,MADRID,PALACIO,CALLE,NUNCIO,13.0,40.41329129845919,-3.7095079687098185,439803,4473871,3,TRIBUNAL DE LA ROTA DE LA NUNCIATURA APOSTÃLICA EN ESPAÃA,913656620,COMPLETO
545,28004,CENTRO,MADRID,JUSTICIA,CALLE,GENERAL CASTA&;N;OS,1.0,40.42468431758989,-3.694232913648584,441109,4475126,3,TRIBUNAL SUPERIOR DE JUSTICIA DE MADRID CALLE GENERAL CASTAÃOS 1,914934243914934771914934772,COMPLETO
11470019,28004,CENTRO,MADRID,JUSTICIA,CALLE,GENOVA,10.0,40.4269350321504,-3.694673264472241,441073,4475376,3,TRIBUNAL SUPERIOR DE JUSTICIA DE MADRID CALLE GÃNOVA,912760641,COMPLETO
11469904,28010,CHAMBERI,MADRID,ALMAGRO,PASEO,GENERAL MARTINEZ CAMPOS,27.0,40.43521023727834,-3.69454384260297,441091,4476294,3,TRIBUNAL SUPERIOR DE JUSTICIA DE MADRID PASEO GENERAL MARTÃNEZ CAMPOS,914931900,COMPLETO
541,28004,CENTRO,MADRID,JUSTICIA,PLAZA,VILLA DE PARIS,0.0,40.4247497561406,-3.6933000719659024,441188,4475132,3,TRIBUNAL SUPREMO,913971200913971050913971064,COMPLETO
